order_id,customer_id,order_date,order_status

C-ORD-9001,C-CUST-5001,2025-11-08,COMPLETED
C-ORD-9002,C-CUST-5002,2025-11-09,COMPLETED
C-ORD-9003,C-CUST-5003,2025-11-10,COMPLETED
C-ORD-9004,C-CUST-5004,,PENDING
C-ORD-9005,C-CUST-5005,2025-11-12,COMPLETED
C-ORD-9006,C-CUST-5006,2025-11-13,COMPLETED
C-ORD-9007,C-CUST-5007,2025-11-14,COMPLETED
C-ORD-9008,C-CUST-9999,2025-11-15,COMPLETED
C-ORD-9009,C-CUST-5008,2025-11-16,COMPLETED
C-ORD-9010,C-CUST-5009,2025-11-16,COMPLETED
C-ORD-9011,C-CUST-5010,2025-11-17,COMPLETED
C-ORD-9012,C-CUST-5011,2025-11-17,COMPLETED
C-ORD-9013,C-CUST-5012,2025-11-18,COMPLETED
C-ORD-9014,C-CUST-5013,2025-11-18,COMPLETED
C-ORD-9015,C-CUST-5014,2025-11-18,COMPLETED
C-ORD-9016,C-CUST-5015,2025-11-19,COMPLETED
C-ORD-9017,C-CUST-5016,2025-11-19,COMPLETED
C-ORD-9018,C-CUST-5001,2025-11-19,COMPLETED
C-ORD-9019,C-CUST-5017,,COMPLETED
C-ORD-9020,C-CUST-5018,2025-11-20,COMPLETED

C-ORD-9001,C-CUST-5001,2025-11-08,COMPLETED
