payment_id,order_id,payment_method,amount,currency,status

PAY-C-0001,C-ORD-9001,CreditCard,149.99,USD,SETTLED
PAY-C-0002,C-ORD-9002,PayPal,39.98,USD,SETTLED
PAY-C-0003,C-ORD-9003,CreditCard,26.97,USD,SETTLED
PAY-C-0004,C-ORD-9004,CreditCard,5.99,USD,FAILED
PAY-C-0005,C-ORD-9005,CreditCard,-10.00,USD,REFUNDED
PAY-C-0006,C-ORD-9006,PayPal,199.99,USD,SETTLED
PAY-C-0007,C-ORD-9007,CreditCard,0.00,USD,SETTLED
PAY-C-0008,C-ORD-9008,PayPal,0.00,USD,SETTLED
PAY-C-0009,C-ORD-9009,CreditCard,89.99,USD,SETTLED
PAY-C-0010,C-ORD-9010,PayPal,29.98,USD,SETTLED
PAY-C-0011,C-ORD-9011,CreditCard,49.99,USD,SETTLED
PAY-C-0012,C-ORD-9012,CreditCard,24.99,USD,SETTLED
PAY-C-0013,C-ORD-9013,PayPal,14.99,USD,SETTLED
PAY-C-0014,C-ORD-9014,PayPal,24.99,USD,SETTLED
PAY-C-0015,C-ORD-9015,CreditCard,69.98,USD,SETTLED
PAY-C-0016,C-ORD-9016,PayPal,59.99,USD,SETTLED
PAY-C-0017,C-ORD-9017,CreditCard,-49.99,USD,REFUNDED
PAY-C-0018,C-ORD-9018,CreditCard,25.98,USD,SETTLED
PAY-C-0019,C-ORD-9019,PayPal,44.97,USD,SETTLED
PAY-C-0020,C-ORD-9020,CreditCard,29.99,USD,SETTLED

PAY-C-0001,C-ORD-9001,CreditCard,149.99,USD,SETTLED
